"","Numer tygodnia","Cena"
"332","2016-11-30",132.769286490402
"333","2016-12-01",134.153957354536
"334","2016-12-02",140.738722482858
"335","2016-12-03",140.220338983051
"336","2016-12-04",133.392882818116
"337","2016-12-05",132.813218390805
"338","2016-12-06",132.49175035868
"339","2016-12-07",132.633333333333
"340","2016-12-08",135.111389684814
"341","2016-12-09",141.562119584676
"342","2016-12-10",141.162432915921
"343","2016-12-11",133.85366726297
"344","2016-12-12",133.145818441744
"345","2016-12-13",133.232225794927
"346","2016-12-14",133.310024973243
"347","2016-12-15",134.501957992168
"348","2016-12-16",140.799146818343
"349","2016-12-17",140.840852575488
"350","2016-12-18",134.933972310969
"351","2016-12-19",134.788502484031
"352","2016-12-20",134.786373314407
"353","2016-12-21",134.708761972331
"354","2016-12-22",136.731205673759
"355","2016-12-23",142.912827781715
"356","2016-12-24",142.83734939759
"357","2016-12-25",137.974902792506
"358","2016-12-26",137.895796538326
"359","2016-12-27",137.204168138467
"360","2016-12-28",137.177197317331
"361","2016-12-29",138.045502645503
"362","2016-12-30",144.73838028169
"363","2016-12-31",145.698146204967
"364","2017-01-01",138.126967830253
"365","2017-01-02",135.572766570605
